1419.8s 49 [Epoch 82/150: batch 100/179] [DLoss: 0.003, GLoss: 11.645, cGanLoss: 7.909, L1Loss: 0.037]
1450.1s 50 [Epoch 82/150: batch 110/179] [DLoss: 0.009, GLoss: 9.877, cGanLoss: 6.178, L1Loss: 0.037]
1480.6s 51 [Epoch 82/150: batch 120/179] [DLoss: 0.003, GLoss: 11.752, cGanLoss: 8.036, L1Loss: 0.037]
1511.6s 52 [Epoch 82/150: batch 130/179] [DLoss: 0.058, GLoss: 9.046, cGanLoss: 5.208, L1Loss: 0.038]
1542.1s 53 [Epoch 82/150: batch 140/179] [DLoss: 0.004, GLoss: 11.763, cGanLoss: 8.019, L1Loss: 0.037]
1572.5s 54 [Epoch 82/150: batch 150/179] [DLoss: 0.007, GLoss: 9.463, cGanLoss: 5.721, L1Loss: 0.037]
1603.1s 55 [Epoch 82/150: batch 160/179] [DLoss: 0.004, GLoss: 10.111, cGanLoss: 6.227, L1Loss: 0.039]
1633.7s 56 [Epoch 82/150: batch 170/179] [DLoss: 0.003, GLoss: 12.487, cGanLoss: 8.513, L1Loss: 0.040]
1661.2s 57 [Epoch 83/150: batch 0/179] [DLoss: 0.010, GLoss: 13.426, cGanLoss: 9.171, L1Loss: 0.043]
1691.6s 58 [Epoch 83/150: batch 10/179] [DLoss: 0.127, GLoss: 12.163, cGanLoss: 8.676, L1Loss: 0.035]
1722.1s 59 [Epoch 83/150: batch 20/179] [DLoss: 0.187, GLoss: 8.277, cGanLoss: 4.427, L1Loss: 0.038]
1753.3s 60 [Epoch 83/150: batch 30/179] [DLoss: 0.033, GLoss: 10.365, cGanLoss: 6.517, L1Loss: 0.038]
1783.7s 61 [Epoch 83/150: batch 40/179] [DLoss: 0.041, GLoss: 9.260, cGanLoss: 5.708, L1Loss: 0.036]
1814.2s 62 [Epoch 83/150: batch 50/179] [DLoss: 0.032, GLoss: 11.987, cGanLoss: 8.181, L1Loss: 0.038]
1844.8s 63 [Epoch 83/150: batch 60/179] [DLoss: 0.004, GLoss: 10.807, cGanLoss: 6.860, L1Loss: 0.039]
1875.2s 64 [Epoch 83/150: batch 70/179] [DLoss: 0.001, GLoss: 13.079, cGanLoss: 9.217, L1Loss: 0.039]
1905.6s 65 [Epoch 83/150: batch 80/179] [DLoss: 0.004, GLoss: 12.666, cGanLoss: 9.043, L1Loss: 0.036]
1936.2s 66 [Epoch 83/150: batch 90/179] [DLoss: 0.055, GLoss: 10.521, cGanLoss: 6.452, L1Loss: 0.041]
1966.8s 67 [Epoch 83/150: batch 100/179] [DLoss: 0.128, GLoss: 12.655, cGanLoss: 9.012, L1Loss: 0.036]
1997.7s 68 [Epoch 83/150: batch 110/179] [DLoss: 0.008, GLoss: 10.254, cGanLoss: 6.376, L1Loss: 0.039]
2028.2s 69 [Epoch 83/150: batch 120/179] [DLoss: 0.047, GLoss: 8.818, cGanLoss: 5.379, L1Loss: 0.034]
2058.8s 70 [Epoch 83/150: batch 130/179] [DLoss: 0.007, GLoss: 10.101, cGanLoss: 6.529, L1Loss: 0.036]
2089.3s 71 [Epoch 83/150: batch 140/179] [DLoss: 0.015, GLoss: 13.917, cGanLoss: 9.873, L1Loss: 0.040]
2119.9s 72 [Epoch 83/150: batch 150/179] [DLoss: 0.447, GLoss: 12.574, cGanLoss: 8.790, L1Loss: 0.038]
2150.4s 73 [Epoch 83/150: batch 160/179] [DLoss: 2.049, GLoss: 12.954, cGanLoss: 9.389, L1Loss: 0.036]
2181.0s 74 [Epoch 83/150: batch 170/179] [DLoss: 0.071, GLoss: 13.632, cGanLoss: 10.118, L1Loss: 0.035]
2208.5s 75 [Epoch 84/150: batch 0/179] [DLoss: 0.006, GLoss: 11.351, cGanLoss: 7.852, L1Loss: 0.035]
2239.4s 76 [Epoch 84/150: batch 10/179] [DLoss: 0.005, GLoss: 10.828, cGanLoss: 7.121, L1Loss: 0.037]
2270.0s 77 [Epoch 84/150: batch 20/179] [DLoss: 1.348, GLoss: 10.127, cGanLoss: 6.420, L1Loss: 0.037]
2300.4s 78 [Epoch 84/150: batch 30/179] [DLoss: 0.331, GLoss: 8.420, cGanLoss: 4.908, L1Loss: 0.035]
2330.8s 79 [Epoch 84/150: batch 40/179] [DLoss: 0.074, GLoss: 10.359, cGanLoss: 6.641, L1Loss: 0.037]
2361.4s 80 [Epoch 84/150: batch 50/179] [DLoss: 0.004, GLoss: 12.234, cGanLoss: 8.439, L1Loss: 0.038]
2391.8s 81 [Epoch 84/150: batch 60/179] [DLoss: 0.001, GLoss: 13.592, cGanLoss: 9.645, L1Loss: 0.039]
